,Facility ID,Facility Name,City/Town,State,ZIP Code,County/Parish,Measure ID,Measure Name,Compared to National,Score,Footnote,Start Date,End Date
42158,140059,JERSEY COMMUNITY HOSPITAL,JERSEYVILLE,IL,62052,JERSEY,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Not Available,3.0,,2022-07-01,2023-06-30
45057,140239,JAVON BEA HOSPITAL,ROCKFORD,IL,61103,WINNEBAGO,HAI_4_ELIGCASES,SSI - Abdominal Hysterectomy: Predicted Cases,Not Available,0.198,,2022-07-01,2023-06-30
41669,140019,HSHS GOOD SHEPHERD HOSPITAL INC,SHELBYVILLE,IL,62565,SHELBY,HAI_3_SIR,SSI - Colon Surgery,Not Available,,12,2022-07-01,2023-06-30
43051,140114,SWEDISH HOSPITAL,CHICAGO,IL,60625,COOK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Better than the National Benchmark,0.677,28,2022-07-01,2023-06-30
44611,140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,OAK LAWN,IL,60453,COOK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,No Different than National Benchmark,1.14,,2022-07-01,2023-06-30
43055,140114,SWEDISH HOSPITAL,CHICAGO,IL,60625,COOK,HAI_6_SIR,Clostridium Difficile (C.Diff),Better than the National Benchmark,0.369,28,2022-07-01,2023-06-30
41541,140012,KATHERINE SHAW BETHEA HOSPITAL,DIXON,IL,61021,LEE,HAI_6_ELIGCASES,Clostridium Difficile (C.Diff): Predicted Cases,No Different than National Benchmark,5.085,,2022-07-01,2023-06-30
43119,140116,NORTHWESTERN MEDICINE MCHENRY,MCHENRY,IL,60050,MC HENRY,HAI_5_ELIGCASES,MRSA Bacteremia: Predicted Cases,No Different than National Benchmark,3.982,,2022-07-01,2023-06-30
44134,140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,EVERGREEN PARK,IL,60805,COOK,HAI_6_NUMERATOR,Clostridium Difficile (C.Diff): Observed Cases,Better than the National Benchmark,4.0,,2022-07-01,2023-06-30
44847,140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,PARK RIDGE,IL,60068,COOK,HAI_5_ELIGCASES,MRSA Bacteremia: Predicted Cases,Better than the National Benchmark,15.356,,2022-07-01,2023-06-30
44401,140189,SARAH BUSH LINCOLN HEALTH CENTER,MATTOON,IL,61938,COLES,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,No Different than National Benchmark,2.646,,2022-07-01,2023-06-30
43325,140125,GATEWAY REGIONAL MEDICAL CENTER,GRANITE CITY,IL,62040,MADISON,HAI_3_SIR,SSI - Colon Surgery,Not Available,,13,2022-07-01,2023-06-30
42027,14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,DANVILLE,IL,61832,VERMILION,HAI_3_ELIGCASES,SSI - Colon Surgery: Predicted Cases,Not Available,,5,2022-07-01,2023-06-30
42111,140053,ST JOHNS HOSPITAL,SPRINGFIELD,IL,62769,SANGAMON,HAI_5_ELIGCASES,MRSA Bacteremia: Predicted Cases,No Different than National Benchmark,9.434,,2022-07-01,2023-06-30
45975,141307,PINCKNEYVILLE COMMUNITY HOSPITAL,PINCKNEYVILLE,IL,62274,PERRY,HAI_1_ELIGCASES,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,Not Available,0.0,3,2022-07-01,2023-06-30
46968,141335,MERCY HARVARD HOSPITAL,HARVARD,IL,60033,MC HENRY,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,,13,2022-07-01,2023-06-30
41677,140019,HSHS GOOD SHEPHERD HOSPITAL INC,SHELBYVILLE,IL,62565,SHELBY,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,,13,2022-07-01,2023-06-30
45954,141306,COMMUNITY HOSPITAL OF STAUNTON,STAUNTON,IL,62088,MACOUPIN,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,,5,2022-07-01,2023-06-30
47135,141340,VALLEY WEST COMMUNITY HOSPITAL,SANDWICH,IL,60548,DE KALB,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,,13,2022-07-01,2023-06-30
43957,140167,IROQUOIS MEMORIAL HOSPITAL,WATSEKA,IL,60970,IROQUOIS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,,13,2022-07-01,2023-06-30
